No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Composables,Use @Composable functions,Functions annotated with @Composable,@Composable functions for UI,Class-based UI components,@Composable fun MyScreen() { },class MyScreen : Fragment,High,https://developer.android.com/jetpack/compose/mental-model
2,Composables,Keep composables small,Single responsibility principle,Split into smaller composables,Large monolithic composables,Extract HeaderContent() FooterContent(),500+ line composable function,Medium,
3,Composables,Use preview annotations,Preview composables in Android Studio,@Preview for development,No previews for components,@Preview @Composable fun PreviewCard(),No preview annotations,Low,https://developer.android.com/jetpack/compose/tooling/previews
4,Composables,Prefer stateless composables,Hoist state to callers when possible,Stateless composables with parameters,State inside reusable composables,fun MyButton(onClick: () -> Unit),var state inside reusable component,Medium,
5,State,Use remember for state,remember preserves state across recomposition,remember for composable state,Variables without remember,var count by remember { mutableStateOf(0) },var count = 0,High,https://developer.android.com/jetpack/compose/state
6,State,Use rememberSaveable for survival,Survive configuration changes,rememberSaveable for user input,remember for text field state,var text by rememberSaveable { mutableStateOf("") },var text by remember { mutableStateOf("") },High,https://developer.android.com/jetpack/compose/state#restore-ui-state
7,State,Use derivedStateOf for calculations,Avoid unnecessary recomposition,derivedStateOf for computed values,Recalculate on every recomposition,val filtered by remember { derivedStateOf { items.filter { it.active } } },val filtered = items.filter { it.active },Medium,
8,State,Hoist state appropriately,State at lowest common ancestor,State at appropriate level,State too high or too low,State in parent passed down,State scattered everywhere,Medium,https://developer.android.com/jetpack/compose/state#state-hoisting
9,ViewModel,Use ViewModel for business logic,Separate UI and business logic,ViewModel for screen state,Logic in composables,val viewModel: MyViewModel = viewModel(),Business logic in @Composable,High,https://developer.android.com/jetpack/compose/libraries#viewmodel
10,ViewModel,Collect state as State,collectAsState for Flow to State,collectAsState for Flow,collect in LaunchedEffect,val uiState by viewModel.uiState.collectAsState(),viewModel.uiState.collect { },High,
11,ViewModel,Use StateFlow for UI state,StateFlow for observable state,StateFlow in ViewModel,LiveData for new code,private val _uiState = MutableStateFlow() val uiState: StateFlow,LiveData for Compose UI,Medium,
12,Layout,Use Column Row Box,Standard layout composables,Built-in layouts for arrangement,ConstraintLayout for simple layouts,Column { Text() Image() },ConstraintLayout for vertical list,Medium,https://developer.android.com/jetpack/compose/layouts/basics
13,Layout,Use LazyColumn LazyRow,Virtualized scrolling lists,Lazy layouts for long lists,Column with scrolling for 50+ items,LazyColumn { items(largeList) },Column(Modifier.verticalScroll()) for large lists,High,https://developer.android.com/jetpack/compose/lists
14,Layout,Use Scaffold for screen structure,Material Design screen layout,Scaffold for top bar bottom bar,Manual layout for standard screens,Scaffold(topBar = { }) { },Column { TopBar() Content() },Low,https://developer.android.com/jetpack/compose/layouts/material
15,Layout,Use Modifier.fillMaxWidth intelligently,Responsive sizing,fillMaxWidth for full-width components,Hard-coded widths,.fillMaxWidth(),.width(360.dp),Medium,
16,Modifiers,Chain modifiers correctly,Order matters for modifiers,Padding before background,Background before padding,.padding(16.dp).background(Color.Red),.background(Color.Red).padding(16.dp),High,https://developer.android.com/jetpack/compose/modifiers
17,Modifiers,Reuse modifier chains,Extract common modifier patterns,Create modifier extensions,Duplicate modifier chains,Modifier.myCardStyle(),Same modifiers repeated everywhere,Low,
18,Modifiers,Use size modifiers appropriately,fillMaxSize fillMaxWidth size,Appropriate size modifiers,Fixed sizes for responsive layouts,.size(48.dp) for icons,.width(360.dp) for cards,Medium,
19,Navigation,Use Compose Navigation,Type-safe navigation library,Navigation Compose for routing,Manual fragment navigation,NavHost { composable(route) },FragmentManager for Compose,Medium,https://developer.android.com/jetpack/compose/navigation
20,Navigation,Define type-safe routes,Sealed class or object routes,Sealed class for route definitions,String literals everywhere,sealed class Screen(val route: String),"navigate(""home/{id}"")",Medium,
21,Navigation,Pass data via route arguments,Use navigation arguments,NavType for typed arguments,Global variables for data,composable(arguments = listOf(navArgument)),ViewModel with mutable state,Medium,
22,Material,Use Material 3 components,Modern Material Design,Material3 components,Material2 for new projects,androidx.compose.material3.Button,androidx.compose.material.Button,Low,https://developer.android.com/jetpack/compose/designsystems/material3
23,Material,Use MaterialTheme,Theming with MaterialTheme,MaterialTheme for colors typography,Hard-coded colors and fonts,MaterialTheme { },Color(0xFF6200EE) everywhere,Medium,https://developer.android.com/jetpack/compose/designsystems/material3
